@relation 'bpd_200204-201102-weka.filters.unsupervised.attribute.Remove-R1-5,11,13,15-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute dobYear numeric
@attribute height numeric
@attribute race {0.0,W,U,B,A,K,M,L,I,P,N}
@attribute gender {0.0,M,F,U}
@attribute medicalCount numeric
@attribute offenseCount numeric
@attribute warrantCount numeric
@attribute lastWarrantBail numeric
@attribute involveTotal numeric
@attribute involveCountVictim numeric
@attribute involveCountSuspect numeric
@attribute involveCountArrestee numeric
@attribute involveCountComplainant numeric

@data
0.975622,0.83087,B,F,0,0.166667,0.058824,0,0.013041,0.005725,0,0.021277,4
0.983582,0.827586,W,F,0,0.166667,0,0,0.017736,0.01145,0.136364,0,5
0.971642,0.83087,W,M,0,0,0,0,0.008346,0.001908,0,0.042553,1
0,0,0.0,0.0,0,0.166667,0,0,0.00626,0.003817,0,0,2
0.979602,0.829228,W,F,0,0.166667,0,0,0.018258,0.005725,0,0,18
0.949254,0.658456,0.0,F,0,0,0,0,0.00313,0.001908,0,0,0
0.968159,0.821018,B,F,0,0.166667,0,0,0.009911,0,0,0,4
0.979104,0.825944,W,F,0,0.166667,0,0,0.005216,0,0,0,3
0,0,0.0,0.0,0,0.166667,0,0,0.004695,0.001908,0,0,2
0.974627,0.835796,W,M,0,0.166667,0,0,0.00626,0.001908,0,0,4
0.974627,0.83087,W,F,0.2,0.333333,0,0,0.033907,0.015267,0,0,41
0.959701,0.82266,0.0,M,0,0.166667,0,0,0.004173,0,0,0,2
0.98806,0.82266,W,M,0,0.166667,0,0,0.006781,0,0,0,2
0.972637,0.834154,W,F,0,0.166667,0,0,0.005216,0.001908,0,0,4
0.979104,0.985222,W,M,0,0.166667,0,0,0.005216,0.003817,0,0,2
0.98408,0.985222,W,M,0.2,0,0,0,0.004695,0,0,0,2
0.979602,0.988506,W,M,0,0.166667,0,0,0.008868,0,0.045455,0,8
0.971144,0.985222,W,M,0,0.166667,0,0,0.006781,0.001908,0.045455,0,2
0.955721,0.829228,W,M,0.2,0,0,0,0.004173,0,0,0,2
0.965174,0.988506,W,M,0,0.166667,0,0,0.004173,0,0,0,2
0.973632,0.834154,W,F,0,0.166667,0,0,0.008868,0.001908,0.045455,0,9
0.978607,0.824302,0.0,F,0,0.166667,0,0,0.005738,0,0,0,6
0.971642,0.834154,W,M,0,0.166667,0,0,0.007825,0.001908,0,0,6
0.978607,0.824302,W,F,0,0.166667,0.058824,0.017946,0.04747,0.019084,0.272727,0.148936,30
0.971642,0.985222,W,M,0,0.166667,0,0,0.017214,0.001908,0.090909,0,14
0.972139,0.832512,W,F,0,0.166667,0,0,0.023996,0.01145,0.181818,0,22
0.968657,0.82266,W,M,0,0.166667,0,0,0.004695,0,0,0,3
0.969154,0.82266,W,M,0.2,0,0,0,0.004173,0,0,0,2
0,0,0.0,0.0,0,0,0,0,0.00313,0,0.045455,0,0
0.991045,0.82266,W,M,0,0,0,0,0.003652,0.001908,0,0,1
0.977612,0.656814,W,F,0,0,0,0,0.007303,0,0,0.06383,0
0.974627,0.834154,W,M,0,0,0,0,0.004695,0.003817,0,0,0
0.961692,0.834154,W,M,0,0.166667,0,0,0.007303,0.003817,0,0,2
0.969652,0.834154,W,M,0.4,0.5,0,0,0.00626,0.001908,0,0,6
0.980597,0.825944,W,F,0,0.166667,0,0,0.00626,0,0.045455,0,6
0.963184,0.83087,W,F,0.2,0,0,0,0.004173,0,0,0,2
0.983582,0.824302,W,F,0,0.166667,0,0,0.011476,0.007634,0.045455,0,8
0.978109,0.83087,W,F,0.2,0,0,0,0.00313,0,0,0,0
0.985572,0.986864,W,M,0,0.166667,0,0,0.005738,0,0.090909,0,2
0.976119,0.832512,W,F,0,0.166667,0,0,0.018779,0.009542,0,0,14
0.985075,0.829228,B,F,0,0.166667,0,0,0.010955,0.005725,0,0,10
0.972637,0.829228,W,F,0,0,0,0,0.003652,0,0,0,2
0.981592,0.825944,W,F,0,0.166667,0,0,0.004695,0.003817,0,0,2
0.978109,0.985222,W,M,0.4,0.5,0,0,0.031821,0.009542,0.045455,0.06383,24
0.969154,0.985222,W,M,0,0.166667,0,0,0.009911,0.005725,0.090909,0.021277,2
0,0,0.0,0.0,0,0.166667,0,0,0.004173,0.001908,0,0,2
0.971144,0.986864,W,M,0,0.166667,0,0,0.006781,0.003817,0,0,2
0.970647,0.988506,W,M,0,0.166667,0,0,0.004695,0,0,0,2
0.959204,0.82266,W,M,0.2,0,0,0,0.009911,0.003817,0,0,10
0.977114,0.824302,W,F,0,0.166667,0,0,0.004695,0.003817,0,0,2
0.972637,0.827586,W,F,0,0.166667,0,0,0.017736,0.001908,0,0.021277,21
0.979602,0.985222,W,M,0,0,0.058824,0.01464,0.005216,0,0,0.021277,0
0,0,0.0,0.0,0,0,0,0,0.011998,0.005725,0,0,0
0.98408,0.82266,W,F,0,0.166667,0.058824,0.012279,0.010955,0.007634,0.045455,0,4
0.982587,0.83087,W,F,0,0.166667,0,0,0.004173,0.001908,0,0,2
0.962687,0.835796,0.0,M,0.2,0,0,0,0.003652,0.001908,0,0,2
0.964677,0.835796,W,M,0,0.166667,0.058824,0.020071,0.018779,0.003817,0,0.021277,12
0.98209,0.824302,W,F,0,0.166667,0,0,0.00626,0.005725,0,0,2
0.98806,0.834154,W,M,0,0.166667,0,0,0.017736,0.001908,0.181818,0.12766,4
